127.0.0.1 - - [10/Aug/2018:08:58:33 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [10/Aug/2018:08:59:50 -0500] "GET /BMSFRIJOL/resources/images/ciat_Logo.png HTTP/1.1" 200 28976
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:02 -0500] "POST /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:03 -0500] "GET /BMSFRIJOL/include/contents/home.xhtml HTTP/1.1" 200 10895
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=539998706 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=962183502 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=962183502 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.js.xhtml?ln=icefaces.ace&v=539998706 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/resources/images/banner.png HTTP/1.1" 200 46285
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:04 -0500] "GET /BMSFRIJOL/resources/bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "POST /BMSFRIJOL/include/contents/home.xhtml HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 8430
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=539998706 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=962183502 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=962183502 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.js.xhtml?ln=icefaces.ace&v=539998706 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:06 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:07 -0500] "GET /BMSFRIJOL/resources/images/frijol01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2018:09:00:07 -0500] "GET /BMSFRIJOL/resources/images/ciat_Logo.png HTTP/1.1" 304 -
