127.0.0.1 - - [13/Jul/2018:08:48:16 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:49 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:50 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:50 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 8599
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=551623661 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:53 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 304 -
