127.0.0.1 - - [29/Jan/2018:09:41:55 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/fileentry/fileEntry.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 14498
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/util/ace-menu.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 162942
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/util/ace-components.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 294117
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 200 484353
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/util/ace-jquery.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 760505
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/images/ui-icons_222222_256x240.png.xhtml?ln=ace-smoothness HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/images/CABEZOTE-SIN-TITULO.png.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/images/ui-bg_flat_75_ffffff_40x100.png.xhtml?ln=ace-smoothness HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/images/ui-icons_888888_256x240.png.xhtml?ln=ace-smoothness HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:45 -0500] "GET /meteoro/javax.faces.resource/images/ui-bg_highlight-soft_75_cccccc_1x100.png.xhtml?ln=ace-smoothness HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:45 -0500] "POST /meteoro/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:45 -0500] "POST /meteoro/javax.faces.resource/org.icefaces.ace.component.fileentry.progress.Averages::vge45x2.txt.xhtml HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:45 -0500] "POST /meteoro/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:45 -0500] "POST /meteoro/javax.faces.resource/org.icefaces.ace.component.fileentry.progress.Averages::vge45x2.txt.xhtml HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:46 -0500] "POST /meteoro/includes/contents/fileUtilities.xhtml HTTP/1.1" 200 4740
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:46 -0500] "POST /meteoro/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:49 -0500] "GET /meteoro/files/Datos_Popayan_Abril_2017.zip HTTP/1.1" 200 167003
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:43:01 -0500] "POST /meteoro/javax.faces.resource/listen.icepush.xml.xhtml HTTP/1.1" 200 9
