127.0.0.1 - - [26/Jul/2018:13:46:37 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:46 -0500] "GET /BMSFRIJOL HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:48 -0500] "GET /BMSFRIJOL/ HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 8440
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=689021255 HTTP/1.1" 200 107637
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 200 56232
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.css.xhtml?ln=icefaces.ace HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 200 22067
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=217092019 HTTP/1.1" 200 122795
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=217092019 HTTP/1.1" 200 86397
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.js.xhtml?ln=icefaces.ace&v=689021255 HTTP/1.1" 200 14498
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:52 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 200 484353
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:54 -0500] "GET /BMSFRIJOL/resources/images/frijol01.jpg HTTP/1.1" 200 925964
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:48:54 -0500] "GET /BMSFRIJOL/resources/images/ciat_Logo.png HTTP/1.1" 200 28976
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:07 -0500] "POST /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/include/contents/home.xhtml HTTP/1.1" 200 11029
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=689021255 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=217092019 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=217092019 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/javax.faces.resource/fileentry/fileEntry.js.xhtml?ln=icefaces.ace&v=689021255 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/resources/images/banner.png HTTP/1.1" 200 46285
0:0:0:0:0:0:0:1 - - [26/Jul/2018:13:49:10 -0500] "GET /BMSFRIJOL/resources/bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
